id;name;premier_lot;deuxieme_lot;troisieme_lot;mariage_gratis_prix;montant_minimum;montant_maximum;close_time_midi;close_time_soir
1;NEWYORK;14850;59123;96152;13893;78332;36554;Marke;Unit 
2;FLORIDA;19602;99239;79182;58141;34891;72926;white;evolv
3;FLORIDA;48635;37243;95830;78453;53684;23682;Movie;black
4;GEORGIA;54412;26291;1503;95198;96753;83068;parse;withd
5;GEORGIA;73263;73948;70548;16441;26076;55864;Inlet;Compu
6;GEORGIA;70574;42233;50531;33028;62520;4060;Group;Groce
7;FLORIDA;50110;30162;35551;10265;69331;19542;Devel;Respo
8;FLORIDA;43664;74415;94759;26810;26378;20309;Dolla;Legac
9;FLORIDA;44157;44201;65050;63878;10288;31231;discr;depos
10;GEORGIA;10123;23063;57168;12119;6479;72547;redef;Facto
