id;type_option;maximum_count;obstinate_amount;statut;created_by;created_date;last_modified_by;last_modified_date
1;LOTO4CHIFOPTION1;10174;83947;ACTIVE;Direct deposit transform;2022-07-06T05:13:15;compressing firewall;2022-07-06T08:49:46
2;LOTO3CHIF;83264;70558;BLOQUE;Forge;2022-07-06T15:41:14;quantify Car;2022-07-06T19:01:39
3;LOTO5CHIF;1821;36166;ACTIVE;override monetize and;2022-07-06T09:56:10;Buckinghamshire Ergonomic;2022-07-06T18:41:26
4;LOTO4CHIF;55714;70334;ACTIVE;Avon;2022-07-06T16:55:02;Florida foreground;2022-07-06T11:52:32
5;LOTO4CHIFOPTION3;75001;47203;ACTIVE;programming;2022-07-06T13:03:38;payment Solutions override;2022-07-06T22:10:11
6;LOTO4CHIFOPTION3;90039;74847;BLOQUE;Computer;2022-07-06T12:04:00;bluetooth Plastic;2022-07-06T12:19:13
7;MARIAGE;54928;88860;BLOQUE;Assurance Kenyan Borders;2022-07-06T07:22:52;blockchains compress;2022-07-06T00:56:09
8;LOTO5CHIF;52597;85773;ACTIVE;Analyst optimize Rest;2022-07-06T13:14:32;Generic paradigms Bedfordshire;2022-07-06T02:12:12
9;LOTO4CHIFOPTION2;52708;53334;BLOQUE;Chicken;2022-07-06T16:55:34;Carolina bypassing;2022-07-06T15:53:36
10;LOTO5CHIFOPTION2;37899;96896;ACTIVE;Buckinghamshire Account Car;2022-07-06T14:05:50;TCP Fresh;2022-07-06T14:41:30
