id;montant;balance;description;start_date;end_date;created_by;created_date;last_modified_by;last_modified_date
1;60154;22196;deposit Plastic harness;2022-07-06;2022-07-06;Martinique calculate;2022-07-06T03:28:00;Loan;2022-07-06T16:44:10
2;62667;86160;Books;2022-07-06;2022-07-06;Savings;2022-07-06T03:53:46;user-facing;2022-07-06T22:35:01
3;22913;60345;Customer mission-critical Money;2022-07-06;2022-07-06;mindshare;2022-07-06T16:30:15;Borders;2022-07-06T10:10:39
4;2505;1169;clicks-and-mortar salmon International;2022-07-06;2022-07-06;Granite gold;2022-07-06T19:40:46;scalable back-end;2022-07-06T18:16:58
5;52783;70276;definition back-end analyzing;2022-07-06;2022-07-06;Music input;2022-07-06T04:59:43;markets Money;2022-07-06T01:36:38
6;18653;38458;Awesome Extended;2022-07-06;2022-07-06;busX;2022-07-06T17:00:55;green Plastic Phased;2022-07-06T04:49:56
7;3744;36040;generate Birr invoice;2022-07-06;2022-07-06;optical Pre-emptive;2022-07-06T05:38:38;Berkshire Implementation homogeneous;2022-07-06T04:43:15
8;68659;27779;Investment evolve;2022-07-06;2022-07-06;webX;2022-07-06T06:42:12;Loan;2022-07-06T15:12:51
9;44441;40071;AI;2022-07-06;2022-07-06;Administrator;2022-07-06T06:41:19;overriding;2022-07-06T01:18:02
10;57658;15774;initiatives;2022-07-06;2022-07-06;Checking;2022-07-06T06:08:15;uniform;2022-07-06T19:38:50
