id;adresse_point;statut;phone_1;phone_2;pourcentage_point;created_by;created_date;last_modified_by;last_modified_date
1;asynchronous Soft Market;CLOSE;Buckinghamshire Franc maximize;Washington Metal Frozen;27342;Integration;2022-07-06T08:35:26;Applications hacking optical;2022-07-06T00:46:41
2;Guinea-Bissau XSS holistic;CLOSE;Rial strategize;Granite Global Maryland;51535;Bedfordshire Rubber capacitor;2022-07-06T13:06:35;Causeway;2022-07-06T07:16:23
3;olive;CLOSE;Computers override Incredible;invoice;69972;Car Malawi Producer;2022-07-06T06:42:33;Program;2022-07-06T06:36:44
4;Polarised management protocol;CLOSE;parallelism Card Avon;green Applications Gorgeous;35096;Metal contingency;2022-07-06T17:18:59;Towels Shoes Mobility;2022-07-06T01:20:35
5;Loan bluetooth Land;CLOSE;Ruble Dong Planner;Fresh HTTP;34820;Loan Table Open-source;2022-07-06T04:49:53;exploit;2022-07-06T05:01:16
6;Frozen Loan transmit;CLOSE;Personal Kip;synthesizing cross-platform Pr;70372;Rubber Brazilian Solutions;2022-07-06T22:50:39;Baby extensible Legacy;2022-07-06T16:12:27
7;Utah;CLOSE;Minnesota matrix Chips;Sausages intuitive;74732;Plastic;2022-07-06T13:36:31;Fresh;2022-07-06T17:18:55
8;Checking experiences Industrial;CLOSE;mission-critical Account throu;tan optimizing Account;85453;Health South bifurcated;2022-07-06T12:39:02;Strategist Account Mississippi;2022-07-06T12:49:16
9;USBX;OPEN;Refined out-of-the-box Finland;override Spring;77805;Plastic orchid pixel;2022-07-06T03:13:27;Gourde THX Administrator;2022-07-06T18:04:26
10;South Pizza Rubber;CLOSE;motivating engineer;invoice;85531;Designer Computer Unbranded;2022-07-06T19:42:28;Digitized;2022-07-06T19:40:52
