id;pourcentage_caissier;pourcentage_responsable;start_time;end_time;created_by;created_date;last_modified_by;last_modified_date
1;24094;24374;Rhode;quant;Avon;2022-07-06T08:34:15;Micronesia Account;2022-07-06T07:38:37
2;24701;61555;Parad;UtahX;Sleek;2022-07-06T06:43:50;attitude-oriented Beauty Cambridgeshire;2022-07-06T01:16:10
3;31861;79942;payme;OhioX;Escudo quantify;2022-07-06T09:41:46;De-engineered;2022-07-06T08:02:32
4;67221;45538;Hollo;bench;copy haptic;2022-07-06T12:30:52;Soft Orchestrator cyan;2022-07-06T19:16:54
5;52843;73032;direc;Speci;Toys;2022-07-06T00:23:20;Account;2022-07-06T22:15:29
6;45201;31908;payme;Legac;Implementation;2022-07-06T20:14:31;EXE Expressway Savings;2022-07-06T17:40:45
7;82672;67104;strat;quant;Chicken seamless bifurcated;2022-07-06T12:18:12;Soap;2022-07-06T05:25:02
8;33189;72459;Haiti;niche;ivory Ergonomic Bermuda;2022-07-06T09:02:53;Granite Tasty;2022-07-06T10:56:00
9;1912;67428;Shirt;Sleek;Cotton;2022-07-06T21:49:21;Triple-buffered Account adapter;2022-07-06T13:37:38
10;74188;88963;gener;Inves;solid Berkshire;2022-07-06T19:29:42;Car Buckinghamshire Cotton;2022-07-06T09:42:27
