id;type_point;created_by;created_date;last_modified_by;last_modified_date
1;INTERNE;Senior;2022-07-06T15:23:02;digital Money;2022-07-06T14:40:51
2;INTERNE;convergence Intelligent;2022-07-06T06:40:44;Investor Branding;2022-07-06T18:01:44
3;INTERNE;back-end;2022-07-06T14:22:01;Gloves Internal;2022-07-06T18:42:27
4;INTERNE;Intelligent EXE;2022-07-06T05:38:52;compress;2022-07-06T06:05:42
5;INTERNE;portals;2022-07-06T03:48:00;cyan Health salmon;2022-07-06T00:09:58
6;INTERNE;programming service-desk Practical;2022-07-06T10:53:46;Refined;2022-07-06T14:58:38
7;PARTENARIAT;black Borders Paradigm;2022-07-06T12:13:59;innovative;2022-07-06T02:56:07
8;PARTENARIAT;HDD black Georgia;2022-07-06T22:35:57;group;2022-07-06T14:18:54
9;PARTENARIAT;Towels;2022-07-06T13:20:18;and indigo Kentucky;2022-07-06T08:43:07
10;INTERNE;Kids;2022-07-06T05:55:07;Village Architect;2022-07-06T09:31:40
