id;ticket_no;statut_fiche;close_by;close_date;is_closed;close_by_id;pay_by;pay_date;is_pay;pay_by_id;created_by;created_date;last_modified_by;last_modified_date
1;out-of-the-box Gro;ACTIVE;HTTP Granite users;2022-07-06T23:41:13;true;57589;Tasty Danish quantifying;2022-07-06T08:05:41;true;67942;Plastic Connecticut;2022-07-06T17:22:16;invoice Games;2022-07-06T15:41:21
2;frame bypassXXXXXX;ANNULED;Savings Alabama;2022-07-06T08:18:57;false;21261;Handcrafted enable;2022-07-06T21:24:46;false;18534;Outdoors Fantastic Crest;2022-07-06T09:23:06;Kids Zloty deposit;2022-07-06T04:28:32
3;RefinedXXXXXXXXXXX;ANNULED;ROI deposit Chair;2022-07-06T07:07:07;false;17983;Views;2022-07-06T11:30:49;false;41639;Card deposit;2022-07-06T16:50:11;matrix harness;2022-07-06T22:54:59
4;Kids AccountXXXXXX;LOSE;Nauru Fully-configurable Analyst;2022-07-06T19:29:22;true;15081;attitude-oriented;2022-07-06T10:58:54;true;79575;Beauty Rustic Dynamic;2022-07-06T04:48:19;asynchronous deposit Cambridgeshire;2022-07-06T06:03:45
5;Steel Human Cambri;ANNULED;Assurance Fantastic;2022-07-06T23:16:24;false;2355;Pula strategy functionalities;2022-07-06T19:22:16;true;25486;Yuan;2022-07-06T23:16:44;contingency Berkshire;2022-07-06T04:33:39
6;multi-byte Handcra;ACTIVE;Wall emulation bricks-and-clicks;2022-07-06T00:16:59;true;87100;Wyoming;2022-07-06T02:09:37;false;35590;Fresh Hat;2022-07-06T07:47:57;sticky;2022-07-06T22:28:19
7;fresh-thinking Opt;LOSE;payment connect Rubber;2022-07-06T15:13:27;true;37724;Games SCSI;2022-07-06T18:12:19;true;76184;Sports ubiquitous Account;2022-07-06T06:30:51;indexing turn-key Legacy;2022-07-06T11:06:24
8;uniformXXXXXXXXXXX;WIN;THX Kip;2022-07-06T20:10:29;false;63483;transmit Customer;2022-07-06T06:32:16;true;26933;azure;2022-07-06T01:46:06;empower;2022-07-06T19:54:35
9;Fall connectingXXX;ANNULED;Manager;2022-07-06T19:23:56;false;42085;Account model;2022-07-06T21:38:50;false;42657;panel Associate;2022-07-06T22:45:14;auxiliary;2022-07-06T22:54:43
10;cross-mediaXXXXXXX;WIN;overriding Plastic synthesize;2022-07-06T01:33:27;true;91225;Dakota;2022-07-06T20:18:59;true;18014;HTTP;2022-07-06T08:52:20;Virginia virtual;2022-07-06T22:07:02
