id;contenu;play_amount;type_option;statut_option;multiplicateur;created_by;created_date;last_modified_by;last_modified_date
1;Optimiz;95040;TROISIEMELOT;ANNULED;85807;niches sensor;2022-07-06T10:01:29;Georgia;2022-07-06T06:41:44
2;Home e-;9535;TROISIEMELOT;ACTIVE;22934;maximize;2022-07-06T10:39:27;pricing;2022-07-06T15:10:09
3;Antilli;73565;LOTO3CHIF;LOSE;48260;partnerships solid;2022-07-06T01:33:14;Strategist;2022-07-06T22:36:55
4;Nationa;80744;ALEATOIRE;LOSE;41312;e-commerce;2022-07-06T01:48:09;violet;2022-07-06T09:56:35
5;deposit;8197;PREMIERLOT;LOSE;62854;front-end invoice Malaysia;2022-07-06T02:56:18;invoice;2022-07-06T16:10:37
6;Unbrand;6761;LOTO4CHIF;ACTIVE;49826;Passage Small;2022-07-06T01:28:38;Direct French;2022-07-06T00:32:19
7;incubat;69330;MARIAGE;ACTIVE;35756;withdrawal;2022-07-06T21:38:48;e-services copying;2022-07-06T07:51:52
8;Pants;39657;LOTO3CHIF;ACTIVE;67641;utilize Nebraska;2022-07-06T15:57:04;card Towels empowering;2022-07-06T13:37:14
9;Japan;45459;LOTO5CHIFOPTION1;ACTIVE;64107;Dollar;2022-07-06T01:34:06;Mouse;2022-07-06T07:02:04
10;feed le;2070;LOTO5CHIFOPTION2;ANNULED;25163;Rufiyaa Credit;2022-07-06T16:12:01;Chicken Kansas Distributed;2022-07-06T08:31:41
