id;tirage_name;type;premier_lot;deuxieme_lot;troisieme_lot;loto_3_chif;statut;created_by;created_date;last_modified_by;last_modified_date
1;GEORGIA;MIDI;Pa;de;Be;Di;BLOQUE;Fantastic empower target;2022-07-06T06:14:34;Account Small;2022-07-06T01:23:35
2;NEWYORK;SOIR;Me;Ch;fu;tu;CLOSED;Nigeria;2022-07-06T23:25:38;Dollar;2022-07-06T17:04:40
3;GEORGIA;SOIR;cl;Kr;Ca;ha;BLOQUE;24/7;2022-07-06T05:15:39;Ball;2022-07-06T14:42:15
4;GEORGIA;SOIR;Sh;In;Yo;sy;BLOQUE;array;2022-07-06T03:34:48;Knoll Plastic Soft;2022-07-06T05:05:15
5;NEWYORK;SOIR;Ca;le;Ch;In;ACTIVE;Account Station;2022-07-06T11:40:13;Agent withdrawal;2022-07-06T20:02:08
6;NEWYORK;MIDI;Au;co;Ta;So;CLOSED;Health;2022-07-06T11:38:18;24/7 Fresh;2022-07-06T12:47:50
7;GEORGIA;MIDI;Ta;in;mo;Ar;CLOSED;deposit;2022-07-06T10:32:47;Bedfordshire SDD;2022-07-06T13:41:48
8;GEORGIA;SOIR;Cl;de;St;ho;CLOSED;Tugrik index;2022-07-06T17:48:20;value-added Technician;2022-07-06T00:27:19
9;FLORIDA;SOIR;co;in;Co;Tu;ACTIVE;state Plain synergistic;2022-07-06T09:21:25;mission-critical Checking Accountability;2022-07-06T12:44:39
10;GEORGIA;SOIR;qu;dr;In;Tu;CLOSED;Pound;2022-07-06T20:06:27;Investment Plains;2022-07-06T19:00:59
