id;pay_amount;balance;start_date;end_date;created_by;created_date;last_modified_by;last_modified_date
1;34474;27611;2022-07-06;2022-07-05;Functionality Open-architected;2022-07-06T15:49:01;Rustic Global;2022-07-06T18:12:56
2;98233;89051;2022-07-06;2022-07-06;architect;2022-07-06T17:46:13;Internal;2022-07-06T06:00:58
3;49478;76455;2022-07-06;2022-07-06;Principal Convertible application;2022-07-06T04:59:27;indigo;2022-07-06T13:39:20
4;45017;99261;2022-07-06;2022-07-06;repurpose;2022-07-06T08:47:19;SSL programming web-readiness;2022-07-06T15:29:32
5;59822;38405;2022-07-06;2022-07-06;SSLX;2022-07-06T04:23:38;Licensed blockchains Small;2022-07-06T19:58:11
6;28434;39942;2022-07-06;2022-07-06;Incredible;2022-07-06T08:28:38;salmon Hryvnia Intranet;2022-07-06T07:09:27
7;49550;27142;2022-07-06;2022-07-06;turquoise improvement Mississippi;2022-07-06T10:47:58;Versatile Canada Berkshire;2022-07-06T12:38:33
8;43993;97517;2022-07-06;2022-07-06;cutting-edge;2022-07-06T23:41:02;Mews vortals;2022-07-06T09:25:46
9;2487;10581;2022-07-05;2022-07-06;override IB Chair;2022-07-06T19:13:21;Accountability;2022-07-06T22:42:06
10;88995;37064;2022-07-06;2022-07-06;Legacy Tome;2022-07-06T06:05:43;Dollar;2022-07-06T13:28:42
