id;type;total;created_by;created_date;last_modified_by;last_modified_date
1;FIX;26348;Loan Consultant primary;2022-07-06T22:02:56;Account;2022-07-06T15:08:36
2;POURCENTAGE;13741;Colorado;2022-07-06T05:23:38;solid Pines;2022-07-06T08:22:38
3;FIX;94871;conglomeration;2022-07-06T04:44:36;ADP Handmade Regional;2022-07-06T08:25:59
4;POURCENTAGE;51712;Borders circuit;2022-07-06T21:29:08;connecting extensible Product;2022-07-06T12:48:32
5;POURCENTAGE;6771;withdrawal Analyst;2022-07-06T13:33:37;visionary;2022-07-06T22:24:08
6;POURCENTAGE;46217;Account Harbor turquoise;2022-07-06T06:31:05;JSON open-source Cheese;2022-07-06T12:56:05
7;POURCENTAGE;38645;Kids;2022-07-06T05:22:01;tanX;2022-07-06T18:11:51
8;FIX;30385;Associate Future-proofed;2022-07-06T17:43:19;index;2022-07-06T01:53:20
9;POURCENTAGE;46488;open-source mobile port;2022-07-06T04:26:23;card invoice;2022-07-06T12:47:35
10;FIX;60530;green yellow maximize;2022-07-06T16:39:10;Israel strategy;2022-07-06T16:16:14
