id;balance;last_payment;statut;start_date;end_date;created_by;created_date;last_modified_by;last_modified_date
1;51207;82990;CLOSED;2022-07-06T12:32:35;2022-07-06T08:52:32;Madagascar instruction Handcrafted;2022-07-06T16:49:12;Rupee Account;2022-07-06T03:32:23
2;62719;21689;CLOSED;2022-07-06T18:39:48;2022-07-06T09:07:11;out-of-the-box Field Future;2022-07-06T07:53:05;Associate;2022-07-06T23:09:52
3;60397;46622;CLOSED;2022-07-06T20:35:10;2022-07-06T15:23:40;Accountability;2022-07-06T17:41:26;hacking Hill;2022-07-06T03:07:15
4;47240;33740;ACTIVE;2022-07-06T01:10:19;2022-07-06T09:51:27;of Colorado;2022-07-06T06:05:49;Frozen Infrastructure cyan;2022-07-06T06:57:38
5;51573;81657;ACTIVE;2022-07-06T21:15:33;2022-07-06T20:20:06;Future-proofed Re-engineered robust;2022-07-06T10:30:30;Alabama Cloned;2022-07-06T11:20:40
6;92201;59007;CLOSED;2022-07-06T07:26:47;2022-07-06T13:03:21;Metal;2022-07-06T18:38:30;Metal architectures Wooden;2022-07-06T01:40:21
7;97576;23017;CLOSED;2022-07-06T01:52:25;2022-07-06T16:05:57;Handcrafted Chair Chair;2022-07-06T20:00:12;Towels;2022-07-06T13:24:38
8;90050;29295;ACTIVE;2022-07-06T22:14:13;2022-07-06T04:38:09;Chips functionalities Streamlined;2022-07-06T10:14:18;firewall Junction;2022-07-06T13:44:12
9;36816;31095;ACTIVE;2022-07-06T17:03:56;2022-07-06T06:50:15;payment;2022-07-06T17:17:59;Handmade Refined;2022-07-06T18:17:42
10;89247;75850;CLOSED;2022-07-06T21:28:51;2022-07-06T20:53:44;Granite Frozen;2022-07-06T21:00:52;Generic Wooden;2022-07-06T19:18:46
